02014421	0401
02014678	04D7
02014679	040102
0201467A	041F,044B
0201467B	04D1
0201467C	04CB
0201467D	04ED
0201467E	046B,0423
02014721	04F7
02014722	040E,04C7,0401
02014723	0481,043D
02014724	04EF,0404
02014725	04EF,0405
02014726	041C,0458,0407
02014727	04010B
02014728	042E,04AA
02014729	042E,04AE
0201472A	040124
0201472B	0422,042E,0429
0201472C	0422,042E,0427
0201472D	0422,04B4
0201472E	0422,04C5
0201472F	0422,0483
02014730	0422,0490
02014731	0422,0493
02014732	0422,0489
02014733	0422,048E
02014734	0422,049C
02014735	0422,04A4
02014736	0422,0401,0448
02014737	0422,042C,0436
02014738	0422,0415,0415
02014739	0422,0423,0439
0201473A	0422,0497
0201473B	0422,04B2
0201473C	0479,0401,0426
0201473D	0425,0438,0426
0201473E	0426,04B5
0201473F	04A4,0426
02014740	0424,0481
02014741	0488,0423
02014742	0401,04E2
02014743	0430,04C7
02014744	048F,0439
02014745	0401,044D,0439
02014746	0493,0439
02014747	04B1,0439
02014748	04AB,0439
02014749	0479,0404,043A
0201474A	042B,0425,0438
0201474B	0416,0481
0201474C	0416,04A7
0201474D	04A8,0436
0201474E	042A,0413,0436
0201474F	0448,0458
02014750	040108
02014751	041D,0401,0458
02014752	0458,045B
02014753	0458,0447
02014754	0458,0444
02014755	0458,0452
02014756	0463,0458
02014757	0404,041D,0458
02014758	0467,0458
02014759	0422,0401,0458
0201475A	0458,041F,0407
0201475B	0421,0401,0458
0201475C	0458,047F
0201475D	0458,045E
0201475E	0459,044B
0201475F	0459,0458
02014760	0459,047A
02014761	0447,0480
02014762	0447,0475
02014763	0414,0401,0447
02014764	0447,0447
02014765	0447,0401,041A
02014766	0447,046F
02014767	0447,0444
02014768	0428,048F
02014769	0467,0467
0201476A	04010E
0201476B	044B,0401,041A
0201476C	042E,040D,0476
0201476D	0476,0443
0201476E	0476,046E
0201476F	0476,047A
02014770	0476,0475
02014771	0476,0458
02014772	0476,042B,0405
02014773	046B,047A
02014774	0414,0403,047A
02014775	046B,0444
02014776	046B,0452
02014777	046B,045E
02014778	046B,0476
02014779	0448,0452
0201477A	0479,044B
0201477B	045A,041F,0407
0201477C	040127
0201477D	045B,0427,0405
0201477E	046C,044D
02014821	040119
02014822	0453,0449
02014823	046E,0475
02014824	04B9,042E,040D
02014825	04B9,0452
02014826	0493,0414
02014827	04D5,0401
02014828	04D5,0405
02014829	04D5,0409
0201482A	04A0,0458
0201482B	04A0,0449
0201482C	04A0,045E
0201482D	0437,04A1
0201482E	0498,0411
0201482F	0415,0498
02014830	042B,0498
02014831	043F,0498
02014832	040111
02014833	040113
02014834	0414,04AB
02014835	0489,041A
02014836	0489,041C
02014837	0404,04CA
02014838	0427,0489
02014839	0410,042A,0422
0201483A	0497,0415
0201483B	048F,0415
0201483C	04A3,043C
0201483D	04C7,0476
0201483E	04C7,0443
0201483F	04C7,0444
02014840	04C7,0449
02014841	04C7,0475
02014842	04C7,0467
02014843	04C7,045A
02014844	04C7,0401,041A
02014845	04C7,040B,0411
02014846	04C7,0468
02014847	04C7,0427,0405
02014848	0414,04B4
02014849	043D,04A4
0201484A	04A4,0415
0201484B	0401,04F0
0201484C	04011C
0201484D	040125
0201484E	04012C
0201484F	040117
02014850	040126
02014851	04012B
02014852	0485,0415
02014853	0485,041A
02014854	04010A
02014855	040118
02014856	040104
02014857	040128
02014858	040116
02014859	040116,043A
0201485A	040116,0427
0201485B	040106
0201485C	04011D
0201485D	04010C
0201485E	04011E
0201485F	0443,0458
02014860	0467,0450
02014861	04011F
02014862	040129
02014863	042A,04C2
02014864	0495,0425
02014865	040112
02014866	0404,04DD
02014867	0460,0401,0419
02014868	040123
02014869	040107
0201486A	047C,045F
0201486B	040136
0201486C	042E,0458,0441
0201486D	0422,04F7
0201486E	0422,0405,0481
0201486F	0422,046B,0419
02014870	0422,046B,0415
02014871	0422,0410,0476
02014872	0422,0431,0445
02014873	0422,04FD
02014874	0422,0419,0458
02014875	0422,0411,0458
02014876	0422,0414,0449
02014877	0422,0414,0458
02014878	0422,043A,0458
02014879	0422,0409,0401,0458
0201487A	0422,04DC
0201487B	0422,04D9
0201487C	0422,041C,0458
0201487D	0422,04D6
0201487E	0422,0498,0401
02014921	0422,04F3
02014922	0422,04EC
02014923	0422,042A,0479
02014924	0422,04F0
02014925	0422,04AC,0401
02014926	0422,0422,0401,043E
02014927	0422,0401,0489
02014928	0422,042B,0458
02014929	0422,0414,045B
0201492A	0422,0404,0483
0201492B	0423,0458,0426
0201492C	0422,0458,0426
0201492D	042A,04E1
0201492E	04EF,0423
0201492F	0430,043D,0458
02014930	0430,0422,0401,043E
02014931	0458,0429,0439
02014932	0431,0446,0439
02014933	04ED,0439
02014934	04E3,0439
02014935	042B,046F,0439
02014936	0447,043D,043A
02014937	04D8,043A
02014938	0476,043B,043A
02014939	042B,0458,043A
0201493A	0416,04DB
0201493B	040129,0436
0201493C	0466,0405,0436,0405
0201493D	04B3,0458
0201493E	0458,042E,0427
0201493F	0401,044B,0458
02014940	0490,0458
02014941	048D,0458
02014942	0458,046D,0406
02014943	0458,04C2
02014944	0458,0489
02014945	0458,0413,0436
02014946	0458,040A,044B
02014947	0458,0404,0447
02014948	0458,0404,0458
02014949	04C5,0458
0201494A	0458,0423,0439
0201494B	04A4,0458
0201494C	0458,042A,0422
0201494D	0458,04B1
0201494E	0458,04B2
0201494F	0458,043D,0426
02014950	0458,0479,0404
02014951	0458,049F
02014952	0458,048E
02014953	0458,047A,0407
02014954	0458,0494
02014955	0458,0411,043B
02014956	0422,0401,040E,0458
02014957	0458,0422,0401,040E
02014958	0458,04A7
02014959	0404,0459,0462
0201495A	0459,0489
0201495B	0459,0491
0201495C	0459,04B1
0201495D	0447,042E,0429
0201495E	0447,042E,0427
0201495F	0447,0497
02014960	0447,04AD
02014961	0447,042B,0410
02014962	0447,042A,0422
02014963	0447,04B2
02014964	0422,0422,0447
02014965	0447,048D
02014966	0447,04A7
02014967	04C0,0448
02014968	044B,0422,0422
02014969	04C0,0476
0201496A	0476,04A9
0201496B	0476,042E,0429
0201496C	0476,04C1
0201496D	0476,0415,0415
0201496E	0476,0479,0404
0201496F	0476,0404,044B
02014970	0476,0401,044D
02014971	0476,043E,040E,0408
02014972	0476,0411,043B
02014973	0476,0401,0448
02014974	04A8,0476
02014975	0485,047A
02014976	047A,04A1
02014977	04A8,047A
02014978	0411,0433,047A
02014979	046B,0410,0426
0201497A	046B,0489
0201497B	046B,0414,043D
0201497C	044C,0422,0420
0201497D	046D,0409,0458
0201497E	046D,0415,0415
02014A21	046D,04C7
02014A22	046D,04A2
02014A23	045A,0411,043B
02014A24	045A,0422,0401,040E
02014A25	0423,0439,045A
02014A26	045A,04B2
02014A27	0422,0422,0449
02014A28	0425,0414,045B
02014A29	046A,043E,040E,0408
02014A2A	046A,0415,0415
02014A2B	046A,0489
02014A2C	0477,0404,0447
02014A2D	0481,044D
02014A2E	0431,04BF,0404
02014A2F	04AD,0461
02014A30	0401,044D,0461
02014A31	0460,042E,0429
02014A32	0460,0427,043B
02014A33	042E,040D,04B9
02014A34	046E,04B9
02014A35	0448,04B9
02014A36	0405,0439,04B9
02014A37	04B9,04B8
02014A38	04B9,04BE
02014A39	04B9,04C1
02014A3A	04B9,0423,043D
02014A3B	0493,044D
02014A3C	040139
02014A3D	04A0,0479,0404
02014A3E	04A0,042E,0427
02014A3F	04A0,0432,0411
02014A40	04A0,0411,043B
02014A41	04A0,0483
02014A42	04A0,04BE
02014A43	04A0,04C1
02014A44	04A0,04C2
02014A45	04A0,0413,0436
02014A46	04A0,0493
02014A47	04A0,0415,0415
02014A48	04A0,0413,043B
02014A49	04A0,043E,040E,0408
02014A4A	04A0,0497
02014A4B	04A0,04A7
02014A4C	04A0,0423,0439
02014A4D	04A0,0427,043B
02014A4E	04A0,04A8
02014A4F	04A0,042C,0436
02014A50	04A0,04B3
02014A51	046E,04A1
02014A52	0449,04A1
02014A53	0422,0403,04A1
02014A54	0498,0443
02014A55	040130
02014A56	040131
02014A57	0489,047A
02014A58	0489,0458
02014A59	0489,0455
02014A5A	0489,0452
02014A5B	0489,0447
02014A5C	0489,044F
02014A5D	0489,046E
02014A5E	0489,0461
02014A5F	0489,0443
02014A60	0489,0449
02014A61	0489,042B,0405
02014A62	042E,040D,0489
02014A63	0497,0457
02014A64	041F,04C6
02014A65	040134
02014A66	0449,04C7
02014A67	04C7,0479,0404
02014A68	04C7,04B9
02014A69	04C7,04B8
02014A6A	04C7,0433,0426
02014A6B	04C7,0410,0426
02014A6C	04C7,048B
02014A6D	04C7,0481
02014A6E	04C7,04BE
02014A6F	04C7,0489
02014A70	04C7,044B,0405
02014A71	04C7,0491
02014A72	04C7,0498
02014A73	04C7,049C
02014A74	04C7,0429,043B
02014A75	04C7,04A3
02014A76	04C7,0404,044B
02014A77	04C7,04B2
02014A78	04C7,0423,0439
02014A79	04C7,042E,041C
02014A7A	04C7,042E,0427
02014A7B	04C7,04B3
02014A7C	04C7,0401,047B
02014A7D	04C7,0486
02014A7E	04C7,0415,0415
02014B21	04C7,04A7
02014B22	04B4,0447
02014B23	04B4,042B,0405
02014B24	0480,04B4
02014B25	0465,04B4
02014B26	046B,04A4
02014B27	04A4,0447
02014B28	04A4,0475
02014B29	048E,04B4
02014B2A	048E,0481
02014B2B	0481,0465
02014B2C	043E,041D,0445
02014B2D	04012F
02014B2E	04D9,043A
02014B2F	042B,04D9
02014B30	04F0,0418
02014B31	04D7,0419
02014B32	043D,041F,044B
02014B33	04ED,043D
02014B34	04ED,043C
02014B35	04ED,0426
02014B36	046B,0423,043F
02014B37	0404,04012C
02014B38	0433,0423,0443
02014B39	0479,040116
02014B3A	042E,040D,040116
02014B3B	040116,0443
02014B3C	040116,0452
02014B3D	040116,0449
02014B3E	040116,0447
02014B3F	0454,040116
02014B40	0405,040129
02014B41	0495,042E,040D
02014B42	0495,0444
02014B43	0495,042B,0405
02014B44	040137
02014B45	042A,041D,0447
02014B46	04013F
02014B47	0423,0422,0458
02014B48	0401,0458,046C
02014B49	040133
02014B4A	040138
02014B4B	0447,04AE
02014B4C	0447,0497
02014B4D	0458,0497
02014B4E	04013B
02014B4F	04012E
02014B50	04F7,0411
02014B51	0413,0410,0478
02014B52	04B6,0444
02014B53	04B6,0475
02014B54	04B6,040B,0411
02014B55	04B6,041F,0407
02014B56	04B6,0480
02014B57	0458,04C2
02014B58	0401,044D,047C
02014B59	0494,047C
02014B5A	04A5,047C
02014B5B	0409,0446,047C
02014B5C	040132
02014B5D	04013D
02014B5E	040135
02014B5F	047C,042E,0429
02014B60	047C,0410,0426
02014B61	047C,0482
02014B62	047C,0413,043B
02014B63	047C,042E,0427
02014B64	046C,04E5
02014B65	045F,0456,0415
02014B66	04A8,047A,0407
02014B67	040148
02014B68	0497,0415,0410
02014B69	040145
02014B6A	042E,0458,047A
02014B6B	042E,0458,0479
02014B6C	0422,046C,0445
02014B6D	0422,040123
02014B6E	0422,0448,0452
02014B6F	0422,0447,0447
02014B70	0422,040108
02014B71	0422,0485,0415
02014B72	0422,0488,0423
02014B73	0422,048F,0439
02014B74	0489,0422,0422
02014B75	0422,0458,0480
02014B76	0422,0401,04F0
02014B77	0422,046C,044D
02014B78	0422,0467,0467
02014B79	0422,0428,0401,045B
02014B7A	0422,0426,04B5
02014B7B	0422,0401,04E4
02014B7C	0422,0423,040116
02014B7D	0422,0404,04CA
02014B7E	0422,0414,04AB
02014C21	0422,0424,0481
02014C22	042A,04E1,0405
02014C23	04011E,0426
02014C24	04E8,0426
02014C25	0401,045C,0424,0424
02014C26	040110,0423
02014C27	040105,0423
02014C28	04014F
02014C29	0430,048F,0439
02014C2A	040E,04C7,0438
02014C2B	040124,0439
02014C2C	0431,0483,0439
02014C2D	046D,045B,0439
02014C2E	040109,0439
02014C2F	04010C,0439
02014C30	045F,0458,0439
02014C31	04011A,0439
02014C32	0427,0489,0439
02014C33	040124,043A
02014C34	0416,0481,043A
02014C35	042E,0422,0422,0411
02014C36	0411,043A,043A,043A
02014C37	041C,0498,0411
02014C38	040157
02014C39	0447,0447,041C
02014C3A	0431,0483,0436
02014C3B	04011B,0436
02014C3C	0404,04DD,0436
02014C3D	040104,043B
02014C3E	041C,0401,0479,043B
02014C3F	04A8,0433,043B
02014C40	0458,04CA
02014C41	0458,0458,0419
02014C42	0458,043A,0458
02014C43	0458,048D,0401
02014C44	0458,0411,0458
02014C45	0458,04D8
02014C46	0458,04DC
02014C47	0458,04DB
02014C48	0458,0474,0438
02014C49	0458,0458,0427
02014C4A	0458,042B,046F
02014C4B	0458,04F2
02014C4C	0458,0422,0452
02014C4D	0458,04F1
02014C4E	0458,0476,043B
02014C4F	04ED,0458
02014C50	0458,0463,0432
02014C51	0458,046D,0415
02014C52	041D,0447,0458
02014C53	0458,04EC
02014C54	0422,0401,0458,0436
02014C55	0463,0422,0458
02014C56	0459,0411,0458
02014C57	0447,04F7
02014C58	0447,0458,0419
02014C59	0447,0443,0431
02014C5A	0447,04CC
02014C5B	0447,04FF
02014C5C	0447,0498,0401
02014C5D	0447,04DC
02014C5E	0447,0421,045F,0405
02014C5F	042E,0422,0463,0405
02014C60	04C8,0445
02014C61	044B,0419,0458
02014C62	044B,04CB
02014C63	044B,04E6
02014C64	044B,0411,044D
02014C65	04F7,0476
02014C66	040151
02014C67	04ED,0476
02014C68	0476,04CA
02014C69	0476,046D,0415
02014C6A	0476,0411,0458
02014C6B	0476,04C6
02014C6C	0476,04D8
02014C6D	0476,04E3
02014C6E	0476,043D,0458
02014C6F	0476,04EB
02014C70	0476,04F5
02014C71	0476,04DA
02014C72	0476,042A,0479
02014C73	0476,04D6
02014C74	0476,0431,0445
02014C75	047A,04DD
02014C76	047A,04F1
02014C77	04ED,047A
02014C78	046B,04CB
02014C79	046B,0401,0497
02014C7A	046B,04EA
02014C7B	046B,04D8
02014C7C	046B,04DA
02014C7D	046B,0467,0436
02014C7E	0479,041D,0458
02014D21	046D,0474,0438
02014D22	046D,0411,0458
02014D23	046D,0447,0438
02014D24	045A,04FE
02014D25	041D,046C,045A
02014D26	045A,0413,0443
02014D27	045A,04D1
02014D28	045A,04DA
02014D29	0422,0453,045A
02014D2A	04EF,045A
02014D2B	046B,0423,045B
02014D2C	0472,0433,045B
02014D2D	045B,041C,0458
02014D2E	045B,04F0
02014D2F	04F0,045B
02014D30	0476,043B,045B
02014D31	0447,046C,0411
02014D32	046A,04FB
02014D33	046A,041C,0458
02014D34	046A,0422,0452
02014D35	046A,04AC,0401
02014D36	046A,042B,046F
02014D37	0404,0497,0477
02014D38	0471,042E,047F
02014D39	0471,04F1
02014D3A	0476,043B,0471
02014D3B	0460,042E,0447
02014D3C	0460,0401,0497
02014D3D	0460,04FD
02014D3E	0460,04FF
02014D3F	0401,044B,04B9
02014D40	049C,04B9
02014D41	04B1,04B9
02014D42	0422,0401,040E,04B9
02014D43	0423,0439,04B9
02014D44	04B9,04E0
02014D45	04B9,0401,0497
02014D46	04B9,0447,043D
02014D47	04B9,048A,0405
02014D48	04B9,0414,045B
02014D49	04B9,043B,0447
02014D4A	04B9,04F0
02014D4B	04B9,043D,0458
02014D4C	04B9,04EB
02014D4D	04B9,046D,0415
02014D4E	04B9,04FD
02014D4F	04B9,0498,0401
02014D50	0493,0458,0401
02014D51	04C0,0493
02014D52	04A9,042E,0429
02014D53	04A9,048E
02014D54	04A9,04A7
02014D55	04015A
02014D56	04A0,04F7
02014D57	04A0,0431,0445
02014D58	04A0,042E,0447
02014D59	04A0,04FE
02014D5A	04A0,04FD
02014D5B	04A0,04CA
02014D5C	04A0,0449,0434
02014D5D	04A0,0439,0458
02014D5E	04A0,04FF
02014D5F	04A0,04D1
02014D60	04A0,0414,0425,0405
02014D61	04A0,044C,043A
02014D62	04A0,041C,0458
02014D63	04A0,0443,0431
02014D64	04A0,04DA
02014D65	04A0,04DB
02014D66	04A0,0458,0439
02014D67	04A0,0474,0438
02014D68	04A0,04C6
02014D69	04A0,04F0
02014D6A	04A0,04AC,0401
02014D6B	04A0,043D,044D
02014D6C	04A0,042B,046F
02014D6D	04A0,042B,0458
02014D6E	04A0,041F,0475
02014D6F	04A0,047F,043A
02014D70	04A0,0421,045F,04A0,0421,0401,041C
02014D71	04A0,043D,0458
02014D72	04A0,0422,0401,043E
02014D73	042E,0429,04A1
02014D74	04AA,04A7
02014D75	042E,0429,0422,0432
02014D76	0498,0481
02014D77	0488,0498
02014D78	0498,04B1
02014D79	0498,0498
02014D7A	0498,0415,0415
02014D7B	0498,042C,0436
02014D7C	0498,04AB
02014D7D	0498,042B,0410
02014D7E	04AC,0498
02014E21	0498,04A7
02014E22	0498,0401,044B
02014E23	0498,0404,044D
02014E24	04AB,0436,043B
02014E25	04AB,04AB
02014E26	0489,042E,0426
02014E27	0489,042E,0429
02014E28	0489,04B8
02014E29	040147
02014E2A	04014D
02014E2B	0489,0498
02014E2C	0489,04C2
02014E2D	0489,0415,0415
02014E2E	0489,0411,043B
02014E2F	0489,0489
02014E30	0489,048D
02014E31	0489,04B4
02014E32	0489,0413,043B
02014E33	0489,0481
02014E34	0489,0423,043D
02014E35	0489,04A7
02014E36	0489,041F,0411
02014E37	0489,04A1
02014E38	0489,0432,0411
02014E39	0489,043E,040E,0408
02014E3A	0489,0479,0404
02014E3B	0498,0489
02014E3C	04A7,042A,0422
02014E3D	0401,0453,0497
02014E3E	0497,0411,043B
02014E3F	048F,0429,043B
02014E40	042E,040D,04FE
02014E41	04A3,0423,0439
02014E42	04C7,04F7
02014E43	04C7,042E,0447
02014E44	04C7,04F9
02014E45	04C7,046B,0415
02014E46	04C7,04F8
02014E47	04C7,046D,0415
02014E48	04C7,0419,0458
02014E49	04C7,0411,0458
02014E4A	04C7,041C,0458
02014E4B	04C7,0439,0458
02014E4C	04C7,04FF
02014E4D	04C7,04CA
02014E4E	04C7,0447,043D
02014E4F	04C7,0471,043D
02014E50	04C7,04FD
02014E51	04C7,04CD
02014E52	04C7,04DA
02014E53	04C7,0458,0426
02014E54	04C7,04D8
02014E55	04C7,0459,0423
02014E56	04C7,0459,0422
02014E57	04C7,04E0
02014E58	04C7,0423,0458
02014E59	04C7,043D,0458
02014E5A	04C7,042B,046F
02014E5B	04C7,0404,04B7
02014E5C	04C7,04F0
02014E5D	04C7,04CA
02014E5E	04C7,04FE
02014E5F	04C7,04AC,0401
02014E60	04C7,0466,0436
02014E61	04C7,0422,0401,043E
02014E62	04B4,042E,0427
02014E63	04B4,04B4
02014E64	04B4,0479,0404
02014E65	04B4,042A,0422
02014E66	040116,04B4
02014E67	04A8,04C2
02014E68	04A8,04BD
02014E69	04AA,04C2
02014E6A	04A6,0413,043B
02014E6B	04A4,04A1
02014E6C	04A4,04B1
02014E6D	04C0,048E
02014E6E	048E,04DB
02014E6F	048E,04D8
02014E70	048E,042B,0458
02014E71	048E,04F1
02014E72	0481,0410,0426
02014E73	0481,0481
02014E74	0481,04B3
02014E75	0481,04A1
02014E76	0481,04AB
02014E77	04D9,0480
02014E78	04F6,045A
02014E79	04F6,041F,0407
02014E7A	04F6,0465
02014E7B	04F0,042B,0405
02014E7C	0444,04DD
02014E7D	042E,040D,04D7
02014E7E	0411,040110
02014F21	041F,044B,0458
02014F22	04D1,0467
02014F23	04CB,0447
02014F24	04CB,046F
02014F25	04CB,047C
02014F26	040154
02014F27	04ED,045A
02014F28	046B,0423,0449
02014F29	046B,0423,0471
02014F2A	04011C,0410
02014F2B	04012C,0437
02014F2C	041D,046C,042E,040D
02014F2D	040126,0426
02014F2E	0496,0403,0443
02014F2F	0485,0498
02014F30	040116,048B
02014F31	040116,04C2
02014F32	040116,0411,043B
02014F33	040116,0414,043D
02014F34	040116,0427,043B
02014F35	040116,0491
02014F36	04A9,040116
02014F37	0425,0414,040116
02014F38	040116,042E,0429
02014F39	0497,040116
02014F3A	040106,0422
02014F3B	040155
02014F3C	0422,0443,0458
02014F3D	0495,042E,0429
02014F3E	0495,04B7
02014F3F	0495,0483
02014F40	0495,04C2
02014F41	0495,0494
02014F42	0495,0427,043B
02014F43	0495,04A7
02014F44	0495,0422,0415
02014F45	0495,0423,0439
02014F46	0495,0422,0420
02014F47	0495,04B9
02014F48	0495,0410,043D
02014F49	0495,048D
02014F4A	0495,0411,043B
02014F4B	0495,048B
02014F4C	0495,0497
02014F4D	04010F,0426
02014F4E	040B,0401,040112
02014F4F	040123,0439
02014F50	0484,04AF
02014F51	04012E,0407
02014F52	04B6,042C,0436
02014F53	04B6,0413,043B
02014F54	04B6,04A7
02014F55	0439,0458,047C
02014F56	04AC,0401,047C
02014F57	04EF,047C
02014F58	0456,0415,047C
02014F59	04A8,0489
02014F5A	040158
02014F5B	040143
02014F5C	040150
02014F5D	0404,04EA,0411
02014F5E	047C,046B,0415
02014F5F	047C,0419,0458
02014F60	047C,04D8
02014F61	047C,0422,0452
02014F62	047C,04FF
02014F63	040156
02014F64	040149
02014F65	0484,04AB
02014F66	040152
02014F67	041A,0458,043B,0401
02014F68	042E,0458,0433,0419
02014F69	042E,0458,0433,0426
02014F6A	0422,04013F
02014F6B	0422,0472,0433,043B
02014F6C	0422,0435,041F,044B
02014F6D	0422,040130
02014F6E	0422,044B,0422,0422
02014F6F	0422,043E,041D,0445
02014F70	0422,0479,040116
02014F71	0422,0458,0489
02014F72	0422,0458,0497
02014F73	0422,0458,0404,0458
02014F74	0422,04A8,047A
02014F75	0422,043D,041F,044B
02014F76	0422,043D,0423,0464
02014F77	0422,0423,0422,0458
02014F78	0422,041F,04C6
02014F79	0422,04ED,0439
02014F7A	0422,040139
02014F7B	0422,0404,04012C
02014F7C	0422,040135
02014F7D	0422,0422,04D8
02014F7E	0422,0401,04AB,0439
02015021	0422,046D,0409,0458
02015022	042E,0423,0458,0426
02015023	049A,04D7
02015024	04DA,049A
02015025	0433,0410,0426,0452
02015026	0425,048A,0405,0439
02015027	0431,04BF,0404,0439
02015028	0479,040116,0439
02015029	046C,04AB,0439
0201502A	040131,0439
0201502B	0411,0458,0426,0439
0201502C	040138,0439
0201502D	043E,041D,0445,043A
0201502E	042A,04E1,043A
0201502F	0411,0433,047A,043A
02015030	0401,0480,0449,043A
02015031	042B,04012F
02015032	0411,041D,0431,0443
02015033	0423,0422,0458,0436
02015034	0413,0498,047A
02015035	0431,0446,0413,043B
02015036	0458,042E,04AA
02015037	042E,0458,04AF
02015038	0410,042A,0422,0458
02015039	0458,0495,0425
0201503A	0411,0493,0458
0201503B	04D5,0401,0458
0201503C	0458,04010E
0201503D	0458,040124
0201503E	0458,0447,0447
0201503F	0458,040107
02015040	0458,0459,044B
02015041	0458,040125
02015042	0458,0458,0458
